case,gold,pred0,gold_component,gold_reason,pred_component,pred_reason,component_match,reason_match,owner,failure_type,steps,completed_step,focus_components,focus_gold_steps,focus_pred_steps,gold_metric_count,pred_metric_count,gold_top1_steps,gold_in_rank_steps,pred_top1_steps,final_top,first_gold_metric,first_pred_metric,note
case_000004,checkoutservice_latency,emailservice_latency,checkoutservice,latency,emailservice,latency,False,True,controller,missed_focus_after_gold_top1,10,10,emailservice,,9,10,59,"2,4","2,4,5,6,7,8,10","5,6,7,8,9,10",emailservice_latency|checkoutservice_latency|currencyservice_latency,s2 [metrics] id=M0528 window=210-240 component=checkoutservice signal=latency.p50 value=0.0794417 unit=s dev=-1.3 n=30,s1 [metrics] id=M0376 window=150-180 component=emailservice signal=latency.p90 value=0.00468059 unit=s dev=+1.5 n=30,"Reasoner ranked gold top1 during scan step(s) [2, 4], but controller never focused checkoutservice and terminated/focused other components. Gold was present only as final rank 2."
case_000005,checkoutservice_latency,emailservice_latency,checkoutservice,latency,emailservice,latency,False,True,controller,missed_focus_after_gold_top1,10,10,,,,16,47,4,"2,3,4,5,6,7,8,9,10","5,6,7,8,9,10",emailservice_latency|checkoutservice_latency|shippingservice_latency,s2 [metrics] id=M0602 window=240-270 component=checkoutservice signal=latency.p50 value=0.14831 unit=s dev=+1.7 n=30,s1 [metrics] id=M0226 window=90-120 component=emailservice signal=latency.p50 value=0.00305806 unit=s dev=+1.6 n=30,"Reasoner ranked gold top1 during scan step(s) [4], but controller never focused checkoutservice and terminated/focused other components. Gold was present only as final rank 2."
case_000006,checkoutservice_latency,shippingservice_latency,checkoutservice,latency,shippingservice,latency,False,True,reasoner,focused_gold_but_wrong_interpretation,11,11,shippingservice|shippingservice|checkoutservice|paymentservice,10,"9,10",34,44,"1,2,3,5","1,2,3,5,6,7,8,9,10,11","6,7,8,9,10,11",shippingservice_latency|checkoutservice_latency|paymentservice_latency,s1 [metrics] id=M0376 window=150-180 component=checkoutservice signal=latency.p90 value=0.250708 unit=s dev=+2.4 n=30,s1 [metrics] id=M0377 window=150-180 component=shippingservice signal=latency.p50 value=0.00284204 unit=s dev=-2.4 n=30,"Gold component was focused at step(s) [10]; gold metric evidence was visible, but final top1 was shippingservice_latency. Gold was present only as final rank 2."
case_000011,checkoutservice_latency,emailservice_mem,checkoutservice,latency,emailservice,mem,False,False,reasoner,visible_gold_metric_but_wrong_ranking,10,10,emailservice,,9,51,26,,"3,4,5,6,7,8,9,10","6,7,8,9,10",emailservice_mem|checkoutservice_latency|currencyservice_latency,s2 [metrics] id=M0676 window=270-300 component=checkoutservice signal=latency.p50 value=0.0622963 unit=s dev=-2.2 n=30,s4 [metrics] id=M1727 window=690-720 component=emailservice signal=mem value=43519726.9 unit=bytes dev=+1.6 n=30,"Gold metric evidence appeared in broad/focused observations, but reasoner did not carry checkoutservice_latency to final top1. Gold was present only as final rank 2."
case_000017,checkoutservice_socket,checkoutservice_mem,checkoutservice,socket,checkoutservice,mem,True,False,reasoner,focused_gold_but_wrong_interpretation,11,11,checkoutservice|currencyservice,9,9,30,32,,"7,8,9,10,11","6,7,8,9,10,11",checkoutservice_mem|checkoutservice_socket|currencyservice_latency,s5 [metrics] id=M1803 window=720-750 component=checkoutservice signal=socket value=16.43 unit=count dev=+7.4 n=30,s2 [metrics] id=M0752 window=300-330 component=checkoutservice signal=mem value=11112448 unit=bytes dev=-1.6 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was checkoutservice_mem. Gold was present only as final rank 2."
case_000018,checkoutservice_socket,checkoutservice_mem,checkoutservice,socket,checkoutservice,mem,True,False,reasoner,focused_gold_but_wrong_interpretation,11,11,checkoutservice|emailservice|currencyservice,9,9,20,33,,,"3,7,8,9,10,11",checkoutservice_mem|emailservice_mem|currencyservice_mem,s6 [metrics] id=M2553 window=1020-1050 component=checkoutservice signal=socket value=22 unit=count dev=+13.0 n=30,s1 [metrics] id=M0301 window=120-150 component=checkoutservice signal=mem value=11404902.4 unit=bytes dev=-1.4 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was checkoutservice_mem. Gold was absent from final ranking."
case_000019,currencyservice_cpu,currencyservice_latency,currencyservice,cpu,currencyservice,latency,True,False,controller,gold_metric_not_retrieved,10,10,currencyservice,9,9,0,39,,,"5,6,7,8,9,10",currencyservice_latency|checkoutservice_latency|frontend_latency,,s2 [metrics] id=M0752 window=300-330 component=currencyservice signal=latency.p50 value=0.00383243 unit=s dev=-1.5 n=30,Gold reason metric for currencyservice_cpu never appeared in returned observations; controller retrieval/focus did not expose enough evidence before termination. Gold was absent from final ranking.
case_000020,currencyservice_cpu,currencyservice_latency,currencyservice,cpu,currencyservice,latency,True,False,controller,gold_metric_not_retrieved,10,10,currencyservice,9,9,0,39,,,"1,5,6,7,8,9,10",currencyservice_latency|emailservice_mem|cartservice_latency,,s1 [metrics] id=M0151 window=60-90 component=currencyservice signal=latency.p50 value=0.00467579 unit=s dev=+3.2 n=30,Gold reason metric for currencyservice_cpu never appeared in returned observations; controller retrieval/focus did not expose enough evidence before termination. Gold was absent from final ranking.
case_000021,currencyservice_cpu,currencyservice_latency,currencyservice,cpu,currencyservice,latency,True,False,controller,gold_metric_not_retrieved,11,11,currencyservice|currencyservice|frontend|cartservice,"9,10","9,10",0,46,,,"5,6,7,8,9,10,11",currencyservice_latency|frontend_latency|cartservice_latency,,s3 [metrics] id=M1127 window=450-480 component=currencyservice signal=latency.p50 value=0.00385968 unit=s dev=-1.7 n=30,Gold reason metric for currencyservice_cpu never appeared in returned observations; controller retrieval/focus did not expose enough evidence before termination. Gold was absent from final ranking.
case_000030,currencyservice_latency,checkoutservice_latency,currencyservice,latency,checkoutservice,latency,False,True,controller,missed_focus_after_gold_top1,10,10,checkoutservice,,9,25,22,"5,6","4,5,6,7,8,10","1,8,9,10",checkoutservice_latency|currencyservice_latency|recommendationservice_latency,s1 [metrics] id=M0228 window=90-120 component=currencyservice signal=latency.p50 value=0.00395212 unit=s dev=-1.2 n=30,s1 [metrics] id=M0152 window=60-90 component=checkoutservice signal=latency.p50 value=0.136367 unit=s dev=+1.6 n=30,"Reasoner ranked gold top1 during scan step(s) [5, 6], but controller never focused currencyservice and terminated/focused other components. Gold was present only as final rank 2."
case_000034,currencyservice_socket,currencyservice_mem,currencyservice,socket,currencyservice,mem,True,False,reasoner,focused_gold_but_wrong_interpretation,10,10,currencyservice,9,9,28,28,,,"5,6,7,8,9,10",currencyservice_mem|emailservice_latency|checkoutservice_latency,s5 [metrics] id=M1778 window=750-780 component=currencyservice signal=socket value=8 unit=count dev=+5.0 n=30,s5 [metrics] id=M1776 window=750-780 component=currencyservice signal=mem value=49126604.8 unit=bytes dev=+8.1 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was currencyservice_mem. Gold was absent from final ranking."
case_000035,currencyservice_socket,currencyservice_latency,currencyservice,socket,currencyservice,latency,True,False,reasoner,focused_gold_but_wrong_interpretation,10,10,currencyservice,9,9,6,31,,,"6,7,8,9,10",currencyservice_latency|emailservice_mem|checkoutservice_latency,s9 [metrics] id=M3198 window=1260-1290 component=currencyservice signal=socket value=17 unit=count dev=+13.0 n=30,s4 [metrics] id=M1371 window=540-570 component=currencyservice signal=latency.p90 value=0.045727 unit=s dev=-1.3 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was currencyservice_latency. Gold was absent from final ranking."
case_000036,currencyservice_socket,currencyservice_latency,currencyservice,socket,currencyservice,latency,True,False,reasoner,focused_gold_but_wrong_interpretation,10,10,currencyservice,9,9,1,41,,5,"2,6,7,8,9,10",currencyservice_latency|emailservice_mem|checkoutservice_latency,s5 [metrics] id=M1825 window=720-750 component=currencyservice signal=socket value=12.93 unit=count dev=+8.9 n=30,s1 [metrics] id=M0307 window=120-150 component=currencyservice signal=latency.p90 value=0.0569969 unit=s dev=+1.3 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was currencyservice_latency. Gold was absent from final ranking."
case_000038,emailservice_cpu,emailservice_latency,emailservice,cpu,emailservice,latency,True,False,reasoner,focused_gold_but_wrong_interpretation,10,10,emailservice,9,9,30,49,,"6,7,8,9,10","6,7,8,9,10",emailservice_latency|emailservice_cpu|emailservice_mem,s5 [metrics] id=M1779 window=720-750 component=emailservice signal=cpu value=3.6806 unit=percent dev=+121.1 n=30,s3 [metrics] id=M1039 window=420-450 component=emailservice signal=latency.p90 value=0.0046 unit=s dev=-1.0 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was emailservice_latency. Gold was present only as final rank 2."
case_000039,emailservice_cpu,emailservice_mem,emailservice,cpu,emailservice,mem,True,False,reasoner,focused_gold_but_wrong_interpretation,10,10,emailservice,9,9,22,31,,,"6,7,8,9,10",emailservice_mem|checkoutservice_latency|currencyservice_latency,s2 [metrics] id=M0595 window=240-270 component=emailservice signal=cpu value=0.285175 unit=percent dev=-1.3 n=30,s4 [metrics] id=M1481 window=600-630 component=emailservice signal=mem value=43961685.3 unit=bytes dev=-2.7 n=30,"Gold component was focused at step(s) [9]; gold metric evidence was visible, but final top1 was emailservice_mem. Gold was absent from final ranking."
