case,answer,baseline_top1,memory_top1,baseline_correct,memory_correct,changed,bucket,baseline_steps,memory_steps,baseline_focus,memory_focus,baseline_final,memory_final,baseline_rank,memory_rank
case_000004,checkoutservice_latency,emailservice_latency,checkoutservice_latency,False,True,True,wrong_to_correct,10,11,1260-1440:emailservice,1260-1440:emailservice | 1260-1440:checkoutservice,Final RCA confirms emailservice as root cause due to sustained high latency.p90 deviations (dev>+5900) in 1260-1440s window. Traces and logs validate this metric-led hypothesis without indicating upstream propagation.,Final RCA confirms checkoutservice latency (dev=+360-+410) as primary cause. Emailservice shows secondary latency spikes (dev=+5600-+5900) as propagation. Traces validate checkoutservice self-latency spike. Ranking finalized.,"emailservice_latency@1260, checkoutservice_latency@1260, currencyservice_latency@1260","checkoutservice_latency@1260, emailservice_latency@1260, shippingservice_latency@1260"
case_000008,checkoutservice_diskio,checkoutservice_diskio,checkoutservice_mem,True,False,True,correct_to_wrong,11,10,1260-1440:checkoutservice | 1260-1440:currencyservice+emailservice+productcatalogservice+recommendationservice,1260-1440:checkoutservice,Final RCA confirms checkoutservice diskio as primary root cause with extreme deviations. Emailservice mem and currencyservice latency are secondary propagation effects validated by traces.,"Final RCA confirms checkoutservice memory exhaustion (dev>+1100) as primary cause, with diskio and CPU as secondary effects. Traces and logs validate propagation.","checkoutservice_diskio@1260, emailservice_mem@1260, currencyservice_latency@1260","checkoutservice_mem@1260, checkoutservice_diskio@1260, checkoutservice_cpu@1260"
case_000011,checkoutservice_latency,emailservice_mem,checkoutservice_latency,False,True,True,wrong_to_correct,10,10,1260-1440:emailservice,1260-1440:checkoutservice,"Final RCA confirms emailservice memory pressure (dev +34.5) as primary root cause, with checkoutservice and currencyservice latency as propagated effects.",Final RCA confirms checkoutservice latency (dev=+243.7) as primary cause. Emailservice mem (dev=+2.3) is secondary. Traces validate internal latency propagation. Ranking finalized.,"emailservice_mem@1260, checkoutservice_latency@1260, currencyservice_latency@1260","checkoutservice_latency@1260, emailservice_mem@1260, currencyservice_latency@1260"
case_000030,currencyservice_latency,checkoutservice_latency,recommendationservice_latency,False,False,True,wrong_to_wrong_changed,10,9,1260-1440:checkoutservice,1080-1260:recommendationservice,"Checkoutservice latency.p90 peaked at 18.23s (M3376) with high self_p99 traces, confirming it as the primary bottleneck. Currencyservice and recommendationservice showed elevated latency but lower deviation, supporting checkoutservice as the root cause.",Final RCA confirms recommendationservice latency (dev=+1849 to +2115) as primary cause. Traces show self_p99 spikes (70-88ms) validating internal latency. Frontend and currencyservice show secondary latency effects.,"checkoutservice_latency@1260, currencyservice_latency@1260, recommendationservice_latency@1260","recommendationservice_latency@1080, frontend_latency@1200, currencyservice_latency@780"
case_000034,currencyservice_socket,currencyservice_mem,currencyservice_socket,False,True,True,wrong_to_correct,10,10,1260-1440:currencyservice,1260-1440:currencyservice,"Final RCA confirms currencyservice memory exhaustion as primary root cause, with emailservice and checkoutservice latency as propagated effects.",Final RCA confirms currencyservice socket pressure (dev=+5.0) and memory growth (dev=+4.8 to +10.2) as primary causes. Traces and logs validate normal propagation. Top root cause is currencyservice socket.,"currencyservice_mem@1260, emailservice_latency@1260, checkoutservice_latency@1260","currencyservice_socket@120, currencyservice_mem@120, frontend_latency@120"
case_000038,emailservice_cpu,emailservice_latency,emailservice_cpu,False,True,True,wrong_to_correct,10,10,1260-1440:emailservice,1260-1440:emailservice,"Final RCA confirms emailservice as root cause. Extreme latency and CPU spikes in metrics, supported by trace propagation from checkoutservice, indicate resource exhaustion. Ranking prioritizes latency as primary driver.",Final RCA confirms emailservice CPU exhaustion (dev=+684 to +711) as primary cause. Sustained high CPU drives latency spikes. Traces and logs validate propagation effects. Top root cause is emailservice_cpu.,"emailservice_latency@1260, emailservice_cpu@1260, emailservice_mem@1260","emailservice_cpu@1260, checkoutservice_latency@1260, currencyservice_latency@1260"
case_000054,emailservice_socket,emailservice_mem,emailservice_latency,False,False,True,wrong_to_wrong_changed,10,7,1260-1440:emailservice,720-900:emailservice,"Final RCA confirms emailservice memory exhaustion (dev >1000) as primary root cause. Traces show normal self-latency, validating memory as the bottleneck. Secondary latency spikes in checkoutservice and currencyservice are propagation effects.",Final RCA confirms emailservice latency (dev=+3109) and mem (dev=+893) as primary causes. Traces validate internal bottleneck. Checkoutservice latency is secondary propagation.,"emailservice_mem@1260, checkoutservice_latency@1260, currencyservice_latency@1260","emailservice_latency@750, emailservice_mem@750, checkoutservice_latency@720"
case_000065,productcatalogservice_latency,productcatalogservice_latency,recommendationservice_latency,True,False,True,correct_to_wrong,11,9,1260-1440:productcatalogservice | 1260-1440:productcatalogservice+recommendationservice+checkoutservice,900-1080:recommendationservice | 900-1080:recommendationservice+productcatalogservice,"Productcatalogservice shows extreme latency.p90 deviations and 'context deadline exceeded' logs, confirming it as the primary root cause. Recommendationservice and checkoutservice exhibit propagation delays. Final ranking prioritizes productcatalogservice.","Final RCA confirms recommendationservice latency (dev=+220k to +375k) as primary cause, supported by trace self_p99 spikes and productcatalogservice propagation. Ranking finalized.","productcatalogservice_latency@1260, recommendationservice_latency@1260, checkoutservice_latency@1260","recommendationservice_latency@900, productcatalogservice_latency@900, frontend_socket@900"
case_000079,recommendationservice_diskio,recommendationservice_diskio,recommendationservice_mem,True,False,True,correct_to_wrong,10,10,1260-1440:recommendationservice,1260-1440:recommendationservice,Final RCA confirms recommendationservice diskio as root cause; currencyservice latency and frontend latency are propagation effects validated by traces.,Final RCA confirms recommendationservice memory exhaustion (dev=+4201-+5021) and disk I/O (dev=+9.1B-+10.2B) as primary cause. Trace latency spikes are propagation effects. Root cause is memory pressure driving disk I/O.,"recommendationservice_diskio@1260, currencyservice_latency@720, frontend_latency@720","recommendationservice_mem@1260, recommendationservice_diskio@1260, frontend_latency@1260"
case_000086,recommendationservice_mem,recommendationservice_latency,recommendationservice_mem,False,True,True,wrong_to_correct,10,9,1260-1440:recommendationservice,1080-1260:recommendationservice,recommendationservice shows extreme latency and memory anomalies; currencyservice latency is secondary; emailservice memory is minor. Final ranking prioritizes recommendationservice.,Final RCA confirms recommendationservice memory exhaustion (dev=+1844 to +7201) as primary cause. Sustained mem spikes drive latency anomalies. Traces and logs validate propagation effects. Top root cause is recommendationservice_mem.,"recommendationservice_latency@1260, recommendationservice_mem@1260, currencyservice_latency@1260","recommendationservice_mem@1080, frontend_latency@1080, recommendationservice_latency@1080"
case_000087,recommendationservice_mem,recommendationservice_latency,recommendationservice_mem,False,True,True,wrong_to_correct,11,9,1260-1440:recommendationservice | 1260-1440:recommendationservice+currencyservice+emailservice+productcatalogservice+checkoutservice,1080-1260:recommendationservice,"Recommendationservice shows massive latency and memory spikes in metrics, confirmed by trace propagation. It is the primary root cause.",Final RCA confirms recommendationservice memory exhaustion (dev=+6373 to +11239) as primary cause. Sustained mem spikes drive latency propagation. Traces and logs validate the memory-driven latency hypothesis.,"recommendationservice_latency@1260, recommendationservice_mem@1260, recommendationservice_diskio@1260","recommendationservice_mem@1080, redis_mem@1080, frontend_mem@1080"
